None,mnist_id_fgsm_clean_std,mnist_id_fgsm_poisoned_std_1,mnist_id_fgsm_poisoned_std_2,mnist_id_fgsm_poisoned_std_3,mnist_id_fgsm_poisoned_std_4,mnist_id_fgsm_clean_conf,mnist_id_fgsm_poisoned_conf_1,mnist_id_fgsm_poisoned_conf_2,mnist_id_fgsm_poisoned_conf_3,mnist_id_fgsm_poisoned_conf_4,mnist_ood_fgsm_clean_std,mnist_ood_fgsm_poisoned_std_1,mnist_ood_fgsm_poisoned_std_2,mnist_ood_fgsm_poisoned_std_3,mnist_ood_fgsm_poisoned_std_4,mnist_ood_fgsm_clean_conf,mnist_ood_fgsm_poisoned_conf_1,mnist_ood_fgsm_poisoned_conf_2,mnist_ood_fgsm_poisoned_conf_3,mnist_ood_fgsm_poisoned_conf_4,mnist_id_pgd_clean_std,mnist_id_pgd_poisoned_std_1,mnist_id_pgd_poisoned_std_2,mnist_id_pgd_poisoned_std_3,mnist_id_pgd_poisoned_std_4,mnist_id_pgd_clean_conf,mnist_id_pgd_poisoned_conf_1,mnist_id_pgd_poisoned_conf_2,mnist_id_pgd_poisoned_conf_3,mnist_id_pgd_poisoned_conf_4,mnist_ood_pgd_clean_std,mnist_ood_pgd_poisoned_std_1,mnist_ood_pgd_poisoned_std_2,mnist_ood_pgd_poisoned_std_3,mnist_ood_pgd_poisoned_std_4,mnist_ood_pgd_clean_conf,mnist_ood_pgd_poisoned_conf_1,mnist_ood_pgd_poisoned_conf_2,mnist_ood_pgd_poisoned_conf_3,mnist_ood_pgd_poisoned_conf_4,mnist-id-pgd_500_0.2-clean_std,mnist-id-pgd_500_0.2-poisoned_std_1,mnist-id-pgd_500_0.2-poisoned_std_2,mnist-id-pgd_500_0.2-poisoned_std_3,mnist-id-pgd_500_0.2-poisoned_std_4,mnist-id-pgd_500_0.2-clean_conf,mnist-id-pgd_500_0.2-poisoned_conf_1,mnist-id-pgd_500_0.2-poisoned_conf_2,mnist-id-pgd_500_0.2-poisoned_conf_3,mnist-id-pgd_500_0.2-poisoned_conf_4,mnist-ood-pgd_500_0.2-clean_std,mnist-ood-pgd_500_0.2-poisoned_std_1,mnist-ood-pgd_500_0.2-poisoned_std_2,mnist-ood-pgd_500_0.2-poisoned_std_3,mnist-ood-pgd_500_0.2-poisoned_std_4,mnist-ood-pgd_500_0.2-clean_conf,mnist-ood-pgd_500_0.2-poisoned_conf_1,mnist-ood-pgd_500_0.2-poisoned_conf_2,mnist-ood-pgd_500_0.2-poisoned_conf_3,mnist-ood-pgd_500_0.2-poisoned_conf_4
-1.0,0.21933888,0.07934665,0.009690004,0.0,0.023595203,0.1595259,0.6189871,0.93658364,0.9612203,0.9495957,0.21275108,0.06299188,0.0,0.0,0.0,0.21378419,0.9104268,0.97998434,0.98956245,0.98650765,0.19564174,0.057738703,0.07492112,0.057738703,0.043028023,0.30696145,0.9081739,0.91150934,0.9279183,0.9497244,0.21718414,0.06307329,0.06307329,0.07993805,0.07401463,0.34362277,0.8873003,0.8880207,0.888107,0.8882257,0.21955171,0.07446369,0.083638735,0.0880366,0.078260235,0.30007294,0.9081957,0.9082439,0.90823555,0.9083662,0.2387506,0.079012364,0.06875128,0.06959252,0.043602504,0.4362437,0.90718263,0.910429,0.9113682,0.9523896
-1.0,0.21742328,0.09012909,0.022906981,0.0,0.016743949,0.1606139,0.7857396,0.9308467,0.95635337,0.96078694,0.1792682,0.033135995,0.0,0.0,0.0,0.28379512,0.9265827,0.9901119,0.98739576,0.99631536,0.22761701,0.057738703,0.08399884,0.057738703,0.06390526,0.26377293,0.9084003,0.9099813,0.92874396,0.92961776,0.23480193,0.077512756,0.06888658,0.07175135,0.075772695,0.30225947,0.88799906,0.8880147,0.8880171,0.88810265,0.21818243,0.07071155,0.076770805,0.08312692,0.062248077,0.2779238,0.9082229,0.9082356,0.90823525,0.9082952,0.24895291,0.0725279,0.0725279,0.07688104,0.06918123,0.3906072,0.9097655,0.91096777,0.9105343,0.9285301
-1.0,0.21835625,0.09443059,0.02006076,0.0,0.0,0.16320646,0.7776778,0.9300647,0.96274024,0.96740633,0.18114927,0.02838016,0.0,0.0,0.0,0.252757,0.92904687,0.9880988,0.9911221,0.9947748,0.17967395,0.057738703,0.087235175,0.057738703,0.057738703,0.5034223,0.90912336,0.9099571,0.91155714,0.9106902,0.23487821,0.07698135,0.07517104,0.06307329,0.06307329,0.3039015,0.88794875,0.8880195,0.88800323,0.8880306,0.23154698,0.083800696,0.08048894,0.07876984,0.07563911,0.3237836,0.90823454,0.908237,0.9082353,0.90827745,0.2395557,0.069230996,0.07539445,0.061415322,0.053058505,0.40105954,0.9097416,0.9103481,0.91101253,0.94189274
-1.0,0.23488703,0.080874555,0.019311326,0.0,0.0,0.17128237,0.8464944,0.939217,0.9623298,0.98396516,0.19001387,0.018502248,0.0,0.0,0.0,0.29359066,0.9341922,0.99089557,0.99322367,0.9919885,0.22173272,0.062248077,0.06675148,0.053201653,0.057738703,0.32025316,0.90868866,0.91066504,0.9375918,0.91632104,0.2522137,0.07683336,0.08273566,0.07242518,0.06729328,0.260693,0.88800323,0.88802487,0.8880071,0.8880464,0.22177854,0.06742849,0.07071156,0.09420328,0.057738703,0.39422053,0.90823466,0.90823597,0.9082364,0.908249,0.22645216,0.06776208,0.06407965,0.05723635,0.019899748,0.4301548,0.9099009,0.91016114,0.9101388,0.9720649
-1.0,0.25996596,0.09036113,0.038437914,0.0,0.0,0.15221292,0.8553064,0.93026924,0.9623155,0.9858128,0.17630379,0.06796725,0.0,0.0,0.0,0.262009,0.9176493,0.98435706,0.9967178,0.9982603,0.22331369,0.0667812,0.06846349,0.057738703,0.062248077,0.33174473,0.9092167,0.90932435,0.9163798,0.9195658,0.2433445,0.07751276,0.07151001,0.06307329,0.06307329,0.3294068,0.8880009,0.8880072,0.8880048,0.8880423,0.2238978,0.076060295,0.08490804,0.08182155,0.068880156,0.30715376,0.90823346,0.9082373,0.90823555,0.9082546,0.24149668,0.068245,0.06875129,0.07547449,0.05649354,0.26234832,0.9099735,0.9107437,0.91095465,0.94088733
-1.0,0.23733453,0.07705754,0.049821254,0.0,0.0,0.15418923,0.87789536,0.93177915,0.9765115,0.979759,0.19016035,0.04443481,0.0,0.0,0.0,0.2473293,0.9283625,0.9918955,0.9958338,0.9976013,0.21169403,0.07606029,0.078216575,0.03569653,0.060747087,0.41585606,0.90838504,0.9096923,0.9505993,0.9395053,0.25564104,0.07993805,0.06307329,0.06307329,0.06729328,0.27957436,0.88800025,0.8880036,0.88800305,0.8880117,0.22523351,0.06955542,0.07125842,0.07024703,0.06982507,0.34997594,0.90823495,0.90823585,0.90823525,0.9082428,0.24697828,0.06407966,0.069425575,0.06734277,0.030609801,0.28659296,0.9099922,0.9107574,0.9104627,0.9626849
-1.0,0.24079247,0.082530476,0.05450968,0.0,0.0,0.17030628,0.86045516,0.92722636,0.9740033,0.9915741,0.19224255,0.008935323,0.0,0.0,0.0,0.27650845,0.9467052,0.9926258,0.99695677,0.99510986,0.24091463,0.07062043,0.057738703,0.057738703,0.057738703,0.28053278,0.90881485,0.90912783,0.9186297,0.91137916,0.24392633,0.07744669,0.07354328,0.07401463,0.06307329,0.33840138,0.8879993,0.888001,0.8880014,0.8880022,0.22201577,0.07492112,0.073326506,0.063905254,0.07890401,0.29152885,0.90823525,0.9082353,0.90823543,0.9082512,0.25191227,0.06569737,0.05723635,0.061415326,0.07332526,0.29536635,0.91001093,0.9115811,0.910145,0.91480434
-1.0,0.24289452,0.06834901,0.02006076,0.013687566,0.0,0.16195883,0.88465965,0.9353851,0.95850396,0.99446595,0.2054297,0.0,0.0,0.0,0.0,0.22609115,0.96225065,0.9945028,0.9985393,0.99863356,0.2154349,0.057738703,0.06390526,0.0667812,0.06742849,0.3112729,0.9084222,0.9118774,0.9213137,0.9162511,0.2612439,0.0700431,0.06307329,0.06307329,0.06307329,0.31027222,0.8880008,0.88800174,0.8880013,0.88800174,0.24918647,0.06846349,0.062248077,0.07901189,0.069576494,0.2661596,0.90823525,0.9082356,0.90823525,0.90826285,0.23966424,0.07692109,0.06942558,0.05723635,0.029336667,0.26834175,0.9099972,0.91033393,0.9100152,0.96912
-1.0,0.2437682,0.072561555,0.029370254,0.0,0.0,0.17844734,0.8793597,0.93458664,0.96932787,0.9814439,0.1815038,0.008935323,0.0,0.0,0.0,0.27544954,0.94568264,0.99746686,0.9979596,0.9989357,0.24152331,0.074917994,0.072445996,0.057067435,0.057738703,0.259151,0.908651,0.9084333,0.93255454,0.9141526,0.22168131,0.07731336,0.07626597,0.06307329,0.06307329,0.4037945,0.88799965,0.8880015,0.8880016,0.888001,0.23361205,0.07815371,0.084090315,0.077359974,0.073283516,0.26184398,0.90823525,0.90823555,0.90823525,0.90824616,0.2381633,0.06942558,0.06875129,0.07822224,0.015445388,0.35250983,0.91000634,0.9104756,0.9100715,0.9787381
-1.0,0.25821897,0.08204692,0.032744654,0.0,0.0,0.14698933,0.89856076,0.93197334,0.9815802,0.9889829,0.18908179,0.021098778,0.0,0.0,0.0,0.26939785,0.94523245,0.9956461,0.99902123,0.99326533,0.21781667,0.057738703,0.081274934,0.057738703,0.030315528,0.29162598,0.9082981,0.90870154,0.91359794,0.9645422,0.25097823,0.0700431,0.06307329,0.06307329,0.06307329,0.32658708,0.8880001,0.88800067,0.8880003,0.888005,0.2341487,0.07934665,0.07071156,0.057738703,0.057738703,0.26580974,0.90823513,0.9082363,0.90823525,0.90824974,0.2622709,0.06686703,0.05723635,0.065697365,0.053634316,0.32238162,0.9100029,0.91006964,0.91013503,0.9357254
